GenBank gi	Locus	Fold	Gene Name and/or Information
1372691_at	BI292558	3.402	Similar to uridine phosphorylase (LOC289801), mRNA
1382593_at	AA963276	3.4	Similar to Ets transcription factor (LOC362733), mRNA
1371625_at	AA800190	3.399	brain glycogen phosphorylase
1396342_at	BF392211	3.394	Transcribed sequences
1376066_at	AI103572	3.389	Similar to ras homolog gene family, member E (LOC295588), mRNA
1379967_at	AI501039	3.389	Transcribed sequences
1381297_at	BI292668	3.389	Rho guanine nucleotide exchange factor (GEF) 5
1370068_at	NM_017174	3.387	phospholipase A2, group 5
1383629_a_at	BI289966	3.387	Transcribed sequence with moderate similarity to protein pir:T46396 (H.sapiens) T46396 hypothetical protein DKFZp434I1820.1 - human
1390215_at	AI235499	3.387	Transcribed sequences
1369895_s_at	AB020726	3.385	podocalyxin-like
1393837_at	AI145227	3.385	Transcribed sequences
1367721_at	NM_012649	3.384	syndecan 4
1383493_at	BE102202	3.382	UI-R-BT1-aqf-f-11-0-UI.s1 UI-R-BT1 Rattus norvegicus cDNA clone UI-R-BT1-aqf-f-11-0-UI 3', mRNA sequence.
1398619_at	BG671918	3.382	Transcribed sequences
1397567_at	BI273995	3.38	Transcribed sequences
1391304_at	BM388658	3.378	Similar to MGC36320 protein (LOC363190), mRNA
1398358_a_at	AW520594	3.378	integrin, beta 5
1393163_at	AI112184	3.371	UI-R-Y0-ml-f-07-0-UI.s1 UI-R-Y0 Rattus norvegicus cDNA clone UI-R-Y0-ml-f-07-0-UI 3', mRNA sequence.
1374448_at	AW523759	3.37	Similar to metastasis and invasion (LOC313488), mRNA
1377862_at	BI274618	3.365	Transcribed sequences
1393311_at	AI044549	3.358	Transcribed sequences
1368972_at	NM_012731	3.355	neurotrophic tyrosine kinase, receptor, type 2
1377615_at	AI112395	3.354	Similar to hypothetical protein (LOC304280), mRNA
1398428_at	BF410381	3.353	Transcribed sequences
1383680_at	BG376339	3.351	UI-R-CT0-buo-d-03-0-UI.s1 UI-R-CT0 Rattus norvegicus cDNA clone UI-R-CT0-buo-d-03-0-UI 3', mRNA sequence.
1395209_at	BM387740	3.35	UI-R-CN1-cjj-p-12-0-UI.s1 UI-R-CN1 Rattus norvegicus cDNA clone UI-R-CN1-cjj-p-12-0-UI 3', mRNA sequence.
1394375_x_at	BF554138	3.345	Similar to BAZF (LOC360551), mRNA
1398412_at	BF402250	3.345	Transcribed sequences
1374799_at	AI407418	3.344	Transcribed sequence with moderate similarity to protein ref:NP_055680.1 (H.sapiens)  chromosome condensation-related SMC-associated protein 1; chromosome condensation-related SMC-associated protein 1; KIAA0159 gene product [Homo sapiens]
1390299_at	BF405880	3.344	Transcribed sequences
1390518_at	AW915157	3.34	Transcribed sequence with strong similarity to protein ref:NP_542162.1 (M.musculus)  Emu1 protein [Mus musculus]
1398644_at	AI535104	3.339	Transcribed sequences
1370875_at	AA851304	3.338	villin 2
1379911_at	BI281823	3.338	Similar to Dapk1 protein (LOC306722), mRNA
1387769_a_at	AF000942	3.337	Inhibitor of DNA binding 3, dominant negative helix-loop-helix protein
1397377_at	AA955664	3.337	Transcribed sequences
1373658_at	AI409259	3.336	Similar to Rac GTPase-activating protein (LOC315298), mRNA
1376809_at	BI288660	3.336	Similar to autism susceptibility candidate 2; autism-related protein 1 (LOC304572), mRNA
1377350_at	AA859898	3.334	Transcribed sequence with weak  similarity to protein ref:NP_115913.1 (H.sapiens)  keratin associated protein 4.4 [Homo sapiens]
1376427_a_at	AI029729	3.332	glycine decarboxylase
1391373_at	BF391714	3.331	Transcribed sequences
1374849_at	BF285745	3.329	Similar to a disintegrin and metalloprotease with thrombospondin motifs-7 preproprotein (LOC315879), mRNA
1370895_at	AI179399	3.321	collagen, type V, alpha 2
1384320_at	BE121330	3.321	Similar to Brain-specific angiogenesis inhibitor 3 precursor (LOC301309), mRNA
1378197_at	AW433953	3.313	KIFC2 protein
1376203_at	BF285996	3.312	Similar to Rho guanine nucleotide exchange factor 4 isoform a; APC-stimulated guanine nucleotide exchange factor (LOC301336), mRNA
1371433_at	BM384999	3.31	Transcribed sequences
1383385_at	AI136674	3.308	UI-R-C2p-nq-c-08-0-UI.s1 UI-R-C2p Rattus norvegicus cDNA clone UI-R-C2p-nq-c-08-0-UI 3', mRNA sequence.
1389424_at	BI289475	3.306	Transcribed sequences
1368703_at	NM_053326	3.305	enigma homolog
1396451_at	BF393275	3.301	UI-R-CA0-bfs-h-08-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-bfs-h-08-0-UI 3', mRNA sequence.
1368114_at	NM_053428	3.299	fibroblast growth factor 13
1371310_s_at	BI285495	3.297	serine (or cysteine) proteinase inhibitor, clade H, member 1
1372814_at	BF283084	3.294	Transcribed sequences
1376200_at	BM385898	3.294	Unknown (protein for MGC:72974)
1392489_at	BE108956	3.291	Transcribed sequences
1398333_at	AI598434	3.287	endothelial PAS domain protein 1
1375404_at	BF415963	3.283	Transcribed sequences
1377084_at	BE106598	3.28	Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1393210_at	AI070116	3.28	Similar to Extracellular matrix protein 2 precursor (Matrix glycoprotein SC1/ECM2) (LOC291018), mRNA
1388401_at	BI296155	3.278	Similar to actin-binding protein homolog ABP-278 (LOC306204), mRNA
1391171_at	AW534352	3.278	Transcribed sequences
1388425_at	BG671569	3.269	Similar to RIKEN cDNA D130038B21 (LOC315594), mRNA
1393449_at	BI290037	3.265	Transcribed sequence with moderate similarity to protein sp:P57087 (H.sapiens) JAM2_HUMAN Junctional adhesion molecule 2 precursor
1394807_at	AW522357	3.265	UI-R-BO0-ahw-b-05-0-UI.s1 UI-R-BO0 Rattus norvegicus cDNA clone UI-R-BO0-ahw-b-05-0-UI 3', mRNA sequence.
1368353_at	NM_017009	3.262	glial fibrillary acidic protein
1378211_s_at	BE114473	3.262	Transcribed sequences
1393346_at	BI279863	3.262	Transcribed sequences
1368183_at	NM_013187	3.259	phospholipase C, gamma 1
1390515_at	AA998383	3.258	Transcribed sequences
1395376_at	BE104111	3.256	Transcribed sequences
1368052_at	NM_133526	3.252	transmembrane 4 superfamily member 3
1393107_at	BI303078	3.251	Transcribed sequence with weak  similarity to protein pir:T23073 (C.elegans) T23073 hypothetical protein H12D21.10 - Caenorhabditis elegans
1392863_at	AA817953	3.248	Similar to Leucine-rich repeat transmembrane protein FLRT3 precursor (Fibronectin-like domain-containing leucine-rich transmembrane protein 3) (LOC366205), mRNA
1374527_at	AI172274	3.247	Similar to hypothetical protein D4Ertd765e (LOC298381), mRNA
1385729_at	BE108687	3.245	UI-R-CA0-axh-c-03-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-axh-c-03-0-UI 3', mRNA sequence.
1371411_at	BG380275	3.242	Similar to KIAA0315 (LOC315217), mRNA
1392720_at	BG376949	3.236	Transcribed sequence with moderate similarity to protein pir:A46661 (H.sapiens) A46661 leukotriene B4 omega-hydroxylase
1390250_x_at	BI273855	3.233	Similar to Potential phospholipid-transporting ATPase ID (ATPase class I type 8B member 2) (LOC361984), mRNA
1375168_at	AI103918	3.232	Transcribed sequence with moderate similarity to protein pir:T17245 (H.sapiens) T17245 hypothetical protein DKFZp586J0917.1 - human
1373345_at	AW523747	3.229	transmembrane protein AMIGO2
1388451_at	AA817802	3.227	Transcribed sequences
1397398_at	BG376725	3.224	Transcribed sequences
1376575_at	BI302686	3.223	Transcribed sequences
1395101_at	BF396757	3.222	Transcribed sequences
1398295_at	NM_031684	3.22	solute carrier family 29, member 1
1377404_at	BM386683	3.217	Transcribed sequences
1383891_a_at	AA997097	3.216	Similar to RIKEN cDNA 2810417J12 gene (LOC287103), mRNA
1388710_at	BI281986	3.213	Transcribed sequences
1390631_at	BE107619	3.213	Transcribed sequences
1382523_at	BF282274	3.212	Similar to dolichol-phosphate-mannose synthase (LOC296394), mRNA
1398383_at	BI282164	3.212	Similar to Cytochrome b561 (Cytochrome b-561) (LOC303601), mRNA
1389256_at	BG381256	3.211	Transcribed sequences
1378537_at	BI289126	3.21	Transcribed sequences
1394419_at	BE109109	3.206	Similar to RIKEN cDNA 6530401L14 gene (LOC296060), mRNA
1374969_at	AA799832	3.202	Similar to phosphoglucomutase 5 (LOC293974), mRNA
1378913_at	BF419415	3.199	UI-R-CA1-bnr-d-08-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bnr-d-08-0-UI 3', mRNA sequence.
1370239_at	AI179404	3.196	Similar to hemoglobin alpha chain (LOC367986), mRNA
1389437_at	BF392952	3.196	Similar to Sal-like protein 2 (Spalt-like protein 2) (MSal-2) (LOC305854), mRNA
1373240_at	BI276935	3.189	Similar to retinal short-chain dehydrogenase/reductase (LOC313689), mRNA
1367916_at	NM_017035	3.188	phospholipase C, delta 1
1392932_at	BI279191	3.188	Hypothetical LOC292596 (LOC292596), mRNA
1370570_at	AF016296	3.187	neuropilin
1384762_at	BE103873	3.186	UI-R-BX0-arh-h-02-0-UI.s1 UI-R-BX0 Rattus norvegicus cDNA clone UI-R-BX0-arh-h-02-0-UI 3', mRNA sequence.
1368685_at	NM_031022	3.184	membrane-spanning proteoglycan NG2
1377946_at	BF420043	3.183	Transcribed sequences
1389150_at	AW524559	3.182	Transcribed sequences
1379077_at	BE102740	3.181	Transcribed sequences
1394359_at	BF553498	3.181	Transcribed sequences
1370346_at	X64589	3.179	cyclin B1
1379175_at	BF388224	3.175	Transcribed sequences
1384302_at	AI712791	3.175	UI-R-AF1-aax-e-10-0-UI.s1 UI-R-AF1 Rattus norvegicus cDNA clone UI-R-AF1-aax-e-10-0-UI 3', mRNA sequence.
1384828_at	AI058952	3.175	Similar to kinesin-related protein KIF27A (LOC293047), mRNA
1370331_at	AF347936	3.172	interleukin 11 receptor, alpha chain 1
1382626_at	AW528353	3.169	Transcribed sequences
1390873_at	BE118616	3.168	Transcribed sequence with strong similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1374726_at	AI411941	3.162	Similar to KIAA1866 protein (LOC308099), mRNA
1396896_at	AW524895	3.159	Similar to KIAA1061 protein (LOC303130), mRNA
1369018_at	NM_031633	3.157	forkhead box M1
1372599_at	BI290559	3.156	Similar to Microsomal glutathione S-transferase 2 (Microsomal GST-2) (Microsomal GST-II) (LOC295037), mRNA
1381590_at	BI295719	3.154	Transcribed sequences
1386833_at	BF554138	3.154	Similar to BAZF (LOC360551), mRNA
1382749_at	BI293987	3.153	Transcribed sequence with strong similarity to protein sp:P52756 (H.sapiens) RBM5_HUMAN RNA-binding protein 5
1393406_at	AI576602	3.151	Transcribed sequences
1374013_at	BI278078	3.148	Similar to complement-c1q tumor necrosis factor-related protein (LOC315598), mRNA
1397917_at	BF412498	3.145	UI-R-BT1-bno-c-06-0-UI.s1 UI-R-BT1 Rattus norvegicus cDNA clone UI-R-BT1-bno-c-06-0-UI 3', mRNA sequence.
1392570_at	BI295850	3.143	Transcribed sequence with moderate similarity to protein ref:NP_005041.1 (H.sapiens)  ATP-binding cassette, sub-family D, member 4, isoform 1; peroxisomal membrane protein 1-like [Homo sapiens]
1389836_a_at	AI599265	3.141	Transcribed sequence with strong similarity to protein ref:NP_000353.1 (H.sapiens)  tissue inhibitor of metalloproteinase 3 precursor; Tissue inhibitor of metalloproteinase-3 [Homo sapiens]
1367654_at	NM_031819	3.14	FAT tumor suppressor (Drosophila) homolog
1382998_at	AI044778	3.137	Transcribed sequences
1382862_at	BE119506	3.131	Transcribed sequence with weak  similarity to protein ref:NP_079268.1 (H.sapiens)  hypothetical protein FLJ12547 [Homo sapiens]
1384542_at	BE103021	3.124	Transcribed sequences
1373577_at	BE116566	3.122	neuropilin
1369777_a_at	NM_133440	3.121	proline rich synapse associated protein 1
1371817_at	BI285489	3.121	Similar to myo-inositol 1-phosphate synthase A1 (LOC290651), mRNA
1378132_at	AI716098	3.118	Transcribed sequences
1377868_at	AW530090	3.113	Similar to hypothetical protein BC013576 (LOC317405), mRNA
1379751_at	BF554367	3.112	Similar to C230068E13 protein (LOC291908), mRNA
1378210_at	BE114473	3.111	Transcribed sequences
1383501_at	AI059858	3.111	Transcribed sequences
1387907_at	J05510	3.111	Inositol 1,4,5-triphosphate receptor 1
1369213_at	NM_017345	3.11	neural cell adhesion molecule L1
1392795_at	AA963069	3.107	Transcribed sequences
1394714_at	BF386268	3.106	UI-R-CA1-bbc-e-11-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bbc-e-11-0-UI 3', mRNA sequence.
1378252_at	AI029745	3.105	Transcribed sequences
1387280_a_at	NM_017353	3.104	tumor-associated protein 1
1372002_at	AI411352	3.102	gap junction membrane channel protein alpha 1
1382317_at	AI408597	3.097	Similar to Eps8 (LOC312812), mRNA
1391546_at	AI412209	3.097	Transcribed sequences
1379881_at	BI304043	3.096	UI-R-DR0-cjc-i-20-0-UI.s1 UI-R-DR0 Rattus norvegicus cDNA clone UI-R-DR0-cjc-i-20-0-UI 3', mRNA sequence.
1368331_at	NM_031023	3.095	di-N-acetylchitobiase
1393952_at	BI278833	3.09	Similar to CTCL tumor antigen se57-1 (LOC291530), mRNA
1394709_at	AI406967	3.09	Transcribed sequences
1372980_at	AA819250	3.089	Transcribed sequence with weak  similarity to protein sp:O60628 (H.sapiens) T4S9_HUMAN Transmembrane 4 superfamily, member 8
1377175_at	BF408588	3.088	Transcribed sequences
1385069_at	BM389711	3.086	activin type I receptor
1392899_at	BI284262	3.084	Similar to Protein regulator of cytokinesis 1 (LOC308761), mRNA
1378871_at	AA924656	3.082	Similar to brain-specific angiogenesis inhibitor 2 (LOC313058), mRNA
1375436_at	BF416417	3.081	nicotinate phosphoribosyltransferase-like protein
1373337_at	AI412065	3.08	Similar to glyoxylate reductase/hydroxypyruvate reductase (LOC298085), mRNA
1384897_at	AA858696	3.08	Transcribed sequences
1397015_at	BF386238	3.077	Transcribed sequences
1384754_at	BE107768	3.073	Similar to hypothetical protein (LOC362712), mRNA
1390891_at	BE116384	3.073	kinesin-like 1
1377792_at	AW524891	3.072	Transcribed sequences
1383085_at	BG672648	3.072	DRNCNF12 Rat DRG Library Rattus norvegicus cDNA clone DRNCNF12 5', mRNA sequence.
1389085_at	BI296359	3.067	Hypothetical LOC287534 (LOC287534), mRNA
1392311_at	BF389762	3.067	Transcribed sequences
1372998_at	BG381555	3.066	Transcribed sequences
1380725_at	AW251317	3.064	Similar to Transmembrane 4 superfamily, member 8 (Tetraspanin 5) (Tspan-5) (Tetraspan NET-4) (LOC362048), mRNA
1376071_at	BM389326	3.06	Transcribed sequences
1390092_at	BF410328	3.055	Transcribed sequences
1377693_at	BG374988	3.054	Hypothetical LOC313244 (LOC313244), mRNA
1397767_at	BG377356	3.054	Transcribed sequences
1373463_at	AI172281	3.053	collagen, type V, alpha 2
1375531_at	BI300956	3.052	Similar to hypothetical protein FLJ90440 (LOC299830), mRNA
1368522_at	NM_031340	3.047	timeless (Drosophila) homolog
1373872_at	BE096535	3.047	Transcribed sequences
1376322_at	BF405165	3.047	Transcribed sequences
1382835_at	BM387260	3.045	Transcribed sequence with weak  similarity to protein ref:NP_079268.1 (H.sapiens)  hypothetical protein FLJ12547 [Homo sapiens]
1390713_at	BF410051	3.045	UI-R-CA1-bjt-a-01-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bjt-a-01-0-UI 3', mRNA sequence.
1368732_at	NM_032056	3.044	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)
1391201_at	AI012084	3.043	Similar to Acidic nucleoplasmic DNA-binding protein 1 (And-1) (LOC305827), mRNA
1397348_at	BE118444	3.043	Transcribed sequences
1390391_at	BF283381	3.039	Transcribed sequences
1383610_at	BF386078	3.038	eyes absent 2 homolog (Drosophila)
1395092_at	BM388276	3.035	UI-R-DM1-cjz-o-04-0-UI.s1 UI-R-DM1 Rattus norvegicus cDNA clone UI-R-DM1-cjz-o-04-0-UI 3', mRNA sequence.
1388494_at	BI281705	3.033	Similar to Collagen alpha 2(IV) chain precursor (LOC306628), mRNA
1385350_at	BF398122	3.032	Synaptogenesis-related mRNA sequence 6
1373592_at	AI407094	3.031	Similar to SPI6 (LOC361241), mRNA
1389966_at	AI176126	3.031	Transcribed sequence with weak  similarity to protein ref:NP_004360.1 (H.sapiens)  alpha 3 type VI collagen, isoform 1 precursor; collagen VI, alpha-3 polypeptide [Homo sapiens]
1398407_at	AA801395	3.028	Transcribed sequences
1393047_at	BF416560	3.026	Similar to hypothetical protein MGC26996; chromosome 6 open reading frame 172 (LOC292188), mRNA
1390446_at	BI296080	3.023	Transcribed sequences
1377793_at	BF407551	3.02	Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1377069_at	BG379055	3.019	UI-R-BT1-bnh-c-01-0-UI.s1 UI-R-BT1 Rattus norvegicus cDNA clone UI-R-BT1-bnh-c-01-0-UI 3', mRNA sequence.
1381424_at	AI535231	3.018	UI-R-C3-st-b-10-0-UI.s1 UI-R-C3 Rattus norvegicus cDNA clone UI-R-C3-st-b-10-0-UI 3', mRNA sequence.
1393626_at	BF562507	3.017	Transcribed sequences
1367643_at	NM_012783	3.009	basigin
1370124_at	NM_053968	3.005	metallothionein 3
1372760_at	AI176579	3.005	EST220167 Normalized rat ovary, Bento Soares Rattus sp. cDNA clone ROVBU12 3' end, mRNA sequence.
1388750_at	BF417032	3.004	transferrin receptor
1388920_at	AI230985	3.004	bone morphogenetic protein 6
1376816_at	BF284903	3.003	breast cancer 1
1378753_at	AI638971	3.002	occludin
1373415_at	AI407050	3.001	Transcribed sequences
1389681_at	BI296388	2.998	Similar to poliovirus receptor homolog (LOC308417), mRNA
1394399_at	AW523958	2.998	UI-R-BO0-aie-h-11-0-UI.s1 UI-R-BO0 Rattus norvegicus cDNA clone UI-R-BO0-aie-h-11-0-UI 3', mRNA sequence.
1389017_at	AI013888	2.997	Similar to 2310046B19Rik protein (LOC305633), mRNA
1384203_at	AA818664	2.996	protein phosphatase 1, regulatory (inhibitor) subunit 1A
1392032_at	BF418025	2.996	Transcribed sequences
1368851_at	NM_012555	2.995	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)
1377089_a_at	BG381571	2.995	Similar to Transmembrane 4 superfamily, member 8 (Tetraspanin 5) (Tspan-5) (Tetraspan NET-4) (LOC362048), mRNA
1379594_at	AW524408	2.993	Transcribed sequences
1389511_s_at	BF403383	2.993	synaptogyrin 1
1380895_at	BE103215	2.991	sperm membrane protein (YWK-II)
1370209_at	AI071565	2.99	UI-R-C1-ky-e-11-0-UI.s2 UI-R-C1 Rattus norvegicus cDNA clone UI-R-C1-ky-e-11-0-UI 3', mRNA sequence.
1374957_at	AI408197	2.988	Transcribed sequences
1370392_at	AB040807	2.987	melastatin like 2 protein
1379632_at	AI502790	2.985	UI-R-C1-lc-f-01-0-UI.s1 UI-R-C1 Rattus norvegicus cDNA clone UI-R-C1-lc-f-01-0-UI 3', mRNA sequence.
1386968_at	NM_022676	2.984	protein phosphatase 1, regulatory (inhibitor) subunit 1A
1389605_at	AI101952	2.984	Similar to hypothetical protein FLJ31564 (LOC305434), mRNA
1383948_at	AA998083	2.982	Similar to AI428795 protein (LOC304558), mRNA
1384948_at	AI113157	2.982	Transcribed sequences
1387184_at	NM_024355	2.982	axin2
1393179_at	BF553172	2.981	FMS-like tyrosine kinase 1
1376706_at	BG373822	2.98	Transcribed sequences
1372000_at	AI180187	2.976	Transcribed sequences
1393887_at	AI511041	2.975	Similar to choline phosphotransferase 1; cholinephosphotransferase 1 alpha; cholinephosphotransferase 1 (LOC362866), mRNA
1396610_at	BF400869	2.975	Transcribed sequences
1387121_a_at	NM_133583	2.973	N-myc downstream-regulated gene 2
1376218_a_at	BI273855	2.971	Similar to Potential phospholipid-transporting ATPase ID (ATPase class I type 8B member 2) (LOC361984), mRNA
1394435_at	AI703874	2.971	UI-R-AB1-yy-e-08-0-UI.s1 UI-R-AB1 Rattus norvegicus cDNA clone UI-R-AB1-yy-e-08-0-UI 3', mRNA sequence.
1376185_at	AW253880	2.97	Similar to KIFC1 (LOC294286), mRNA
1376998_a_at	BI276006	2.97	Similar to FLJ00128 protein (LOC361034), mRNA
1374115_at	BG380595	2.969	Transcribed sequences
1383741_at	BE100721	2.967	Transcribed sequences
1377138_at	AI709547	2.965	Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1383846_at	AI576094	2.962	Similar to Docking protein 5 (Downstream of tyrosine kinase 5) (Protein dok-5) (LOC366256), mRNA
1375771_at	BF399598	2.959	Similar to hypothetical protein FLJ20174 (LOC288109), mRNA
1368157_at	NM_024346	2.957	stathmin-like 3
1386884_at	NM_031721	2.956	protease, serine, 11
1386268_at	AI177589	2.955	Similar to gp250 precursor (LOC300652), mRNA
1370328_at	AF245040	2.953	dickkopf homolog 3 (Xenopus laevis)
1371824_at	AA891949	2.953	adenylate kinase 4
1379332_at	AI556426	2.951	Transcribed sequence with strong similarity to protein ref:NP_060785.2 (H.sapiens)  F-box protein FBW7, isoform 2; hypothetical protein FLJ11071; F-box protein FBW7; F-box protein SEL-10; homolog of C elegans sel-10; archipelago, Drosophila, homolog of [H
1378888_at	BF397954	2.95	Transcribed sequences
1393082_at	AI044747	2.949	protein phosphatase 1, regulatory (inhibitor) subunit 14c
1376599_at	AW915567	2.947	Transcribed sequences
1377076_at	AI716131	2.947	Transcribed sequences
1387789_at	NM_133397	2.946	v-ets erythroblastosis virus E26 oncogene like (avian)
1380472_at	AI639486	2.944	Transcribed sequence with weak  similarity to protein ref:NP_003860.1 (H.sapiens)  carboxylesterase 2; intestinal carboxylesterase; liver carboxylesterase-2 [Homo sapiens]
1387384_at	NM_033299	2.943	phospholipase D2
1389216_at	AW523499	2.943	Similar to Ubiquitin carboxyl-terminal hydrolase 24 (Ubiquitin thiolesterase 24) (Ubiquitin-specific processing protease 24) (Deubiquitinating enzyme 24) (LOC313427), mRNA
1380831_at	AI237035	2.94	Transcribed sequences
1389781_at	AI412625	2.938	Similar to hypothetical protein DKFZp547C176 (LOC315670), mRNA
1394316_a_at	AW920272	2.938	Similar to Transmembrane 4 superfamily, member 8 (Tetraspanin 5) (Tspan-5) (Tetraspan NET-4) (LOC362048), mRNA
1392653_at	BE118116	2.935	Transcribed sequences
1390997_at	BI303253	2.928	Similar to Alpha-L-iduronidase precursor (LOC360904), mRNA
1377673_at	BF411339	2.927	Transcribed sequences
1397409_s_at	BE113999	2.926	Transcribed sequences
1391026_at	BI296897	2.925	Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1387204_at	NM_021682	2.922	kilon
1369679_a_at	D78017	2.92	nuclear factor I/A
1392952_at	BI277131	2.917	UI-R-CY0-bxv-b-05-0-UI.s1 UI-R-CY0 Rattus norvegicus cDNA clone UI-R-CY0-bxv-b-05-0-UI 3', mRNA sequence.
1380515_at	AI170730	2.916	Transcribed sequence with strong similarity to protein ref:NP_286085.1 (E. coli)  beta-D-galactosidase [Escherichia coli O157:H7 EDL933]
1381381_at	BF416088	2.915	UI-R-CA0-bkq-b-03-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-bkq-b-03-0-UI 3', mRNA sequence.
1379098_at	AI071602	2.914	Transcribed sequences
1376689_at	BF282636	2.913	Similar to RIKEN cDNA 1700023M03 (LOC314730), mRNA
1376792_at	AW251313	2.912	Transcribed sequences
1379520_at	BE103550	2.912	Transcribed sequences
1374117_at	BI279562	2.91	brain-specific angiogenesis inhibitor 1-associated protein 2
1389485_at	BE099784	2.91	Similar to mdm-1 protein (clone c103) - mouse (LOC314859), mRNA
1376829_at	AI716500	2.909	Transcribed sequences
1390172_at	AI409946	2.908	Similar to KIAA1630 protein (LOC361272), mRNA
1376624_at	BF288208	2.904	Transcribed sequences
1392778_at	AA891634	2.902	Transcribed sequences
1374168_at	BE099608	2.898	Transcribed sequences
1374775_at	AI714002	2.897	Similar to Ki-67 (LOC291234), mRNA
1388015_at	U04998	2.897	protein tyrosine phosphatase, receptor-type, Z polypeptide 1
1368145_at	NM_013002	2.894	Purkinje cell protein 4
1372452_at	BG666882	2.894	Transcribed sequences
1383918_at	AI070651	2.894	Similar to D11Ertd498e protein (LOC303630), mRNA
1374083_at	AA799740	2.893	Transcribed sequences
1380332_at	BF411794	2.892	Transcribed sequence with moderate similarity to protein ref:NP_033487.1 (M.musculus)  ubiquitin protein ligase E3 component n-recognin 1; ubiquitin-protein ligase e3 componen n-recognin [Mus musculus]
1372606_at	BM390528	2.891	Transcribed sequences
1377975_at	AI100827	2.888	Transcribed sequences
1376219_at	BI273855	2.887	Similar to Potential phospholipid-transporting ATPase ID (ATPase class I type 8B member 2) (LOC361984), mRNA
1392133_at	AI502069	2.886	Similar to MAPK-interacting and spindle-stabilizing protein (LOC361028), mRNA
1374452_at	BF399743	2.885	phosphodiesterase 9A
1376673_at	BM391853	2.884	transcription factor 8
1385031_at	AI144913	2.878	Transcribed sequences
1388650_at	BM385445	2.877	topoisomerase (DNA) 2 alpha
1390146_at	BF414998	2.876	Transcribed sequences
1375011_at	AA818819	2.873	Transcribed sequences
1378930_a_at	BG371548	2.873	Transcribed sequences
1367776_at	NM_019296	2.867	cell division cycle 2 homolog A (S. pombe)
1373534_at	BE107209	2.865	Similar to SR rich protein (LOC297942), mRNA
1374296_at	BM387574	2.865	Similar to Leucine-rich repeat-containing 8 (LOC311846), mRNA
1380690_at	AW534142	2.865	Similar to MLTK-beta (LOC311743), mRNA
1384924_at	BF551984	2.865	Transcribed sequences
1375877_at	AI454612	2.864	pancreatic and duodenal homeobox gene 1
1380750_at	BF398240	2.864	UI-R-BS2-bfb-b-12-0-UI.s1 UI-R-BS2 Rattus norvegicus cDNA clone UI-R-BS2-bfb-b-12-0-UI 3', mRNA sequence.
1373085_at	BI282197	2.862	Similar to carbonyl reductase 3 (LOC304078), mRNA
1368227_at	NM_031664	2.859	solute carrier family 28, member 2
1392965_a_at	AI028877	2.859	Transcribed sequence with weak  similarity to protein ref:NP_071420.1 (H.sapiens)  secreted modular calcium-binding protein 1 [Homo sapiens]
1385497_x_at	AW522661	2.856	UI-R-BO0-ahl-c-11-0-UI.s1 UI-R-BO0 Rattus norvegicus cDNA clone UI-R-BO0-ahl-c-11-0-UI 3', mRNA sequence.
1370342_at	AF385402	2.855	potassium channel, subfamily K, member 2
1372574_at	AW142018	2.853	TEA domain family member 2
1384231_at	BE108276	2.853	UI-R-BS1-ayx-d-07-0-UI.s1 UI-R-BS1 Rattus norvegicus cDNA clone UI-R-BS1-ayx-d-07-0-UI 3', mRNA sequence.
1389263_at	AI234852	2.852	Similar to ankycorbin (LOC294804), mRNA
1392065_at	BE116803	2.851	Transcribed sequences
1375839_at	BF393490	2.848	Similar to CP2B (LOC301038), mRNA
1377523_at	BE113698	2.848	Transcribed sequences
1383499_at	BG371995	2.848	Transcribed sequences
1374731_at	BI275929	2.846	Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1383662_at	AI043759	2.844	Similar to angiopoietin-related protein 5 (LOC298698), mRNA
1389408_at	BG379338	2.841	Transcribed sequences
1393793_at	AW524669	2.834	UI-R-BO0-aib-a-09-0-UI.s1 UI-R-BO0 Rattus norvegicus cDNA clone UI-R-BO0-aib-a-09-0-UI 3', mRNA sequence.
1369160_a_at	AF070475	2.833	solute carrier family 4, sodium bicarbonate cotransporter, member 7
1374360_at	BI298458	2.833	cell cycle protein p55CDC
