GenBank gi	Locus	Fold	Gene Name and/or Information
1379049_a_at	AW532022	2.751	Transcribed sequences
1378913_at	BF419415	2.747	UI-R-CA1-bnr-d-08-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bnr-d-08-0-UI 3', mRNA sequence.
1385519_at	BE105678	2.745	Similar to homologue oh human CBFA2T1 gene (LOC362489), mRNA
1375217_at	BI296680	2.743	Transcribed sequences
1371696_at	AI412938	2.742	G protein-coupled receptor 56
1369677_at	NM_012784	2.732	cannabinoid receptor 1
1368125_at	NM_019229	2.73	solute carrier family 12, member 4
1382221_at	AI176944	2.73	Transcribed sequences
1385821_at	BF392004	2.73	Transcribed sequences
1396157_at	BF548958	2.729	Transcribed sequences
1376425_at	BF420705	2.728	transforming growth factor, beta 2
1374383_at	BE121006	2.727	Transcribed sequences
1394756_at	AA955494	2.725	Transcribed sequences
1374765_at	BI288055	2.723	Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1389712_at	BE117335	2.719	Transcribed sequences
1386739_at	BF545627	2.715	Similar to PEA3 (LOC360635), mRNA
1377693_at	BG374988	2.714	Hypothetical LOC313244 (LOC313244), mRNA
1391843_at	BF393134	2.714	Transcribed sequences
1387172_a_at	NM_031131	2.71	transforming growth factor, beta 2
1391736_at	BG376666	2.709	Similar to lipocalin-interacting membrane receptor (LOC300215), mRNA
1378694_at	BI294858	2.707	Similar to plexinB1 (LOC316009), mRNA
1391067_at	BF389648	2.706	Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1368036_at	M60103	2.702	protein tyrosine phosphatase, receptor type, F
1374329_at	BI286364	2.701	Transcribed sequence with moderate similarity to protein sp:O15068 (H.sapiens) DBS_HUMAN Guanine nucleotide exchange factor DBS
1392567_at	AI556652	2.701	UI-R-C2p-ri-h-05-0-UI.s1 UI-R-C2p Rattus norvegicus cDNA clone UI-R-C2p-ri-h-05-0-UI 3', mRNA sequence.
1377878_at	AA800782	2.699	Transcribed sequences
1393135_at	BM390238	2.695	Transcribed sequences
1393048_at	BF561277	2.693	UI-R-C0-hl-c-03-0-UI.r1 UI-R-C0 Rattus norvegicus cDNA clone UI-R-C0-hl-c-03-0-UI 5', mRNA sequence.
1389700_at	H31078	2.692	Transcribed sequences
1387325_at	NM_024143	2.689	bile acid CoA ligase
1369993_at	NM_133605	2.688	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma
1396556_at	BF413366	2.685	Transcribed sequences
1374106_at	AI412389	2.68	Similar to RIKEN cDNA 3110007P09 (LOC313413), mRNA
1375815_at	BF391129	2.68	Transcribed sequences
1383858_at	BF548326	2.68	Transcribed sequence with strong similarity to protein ref:NP_065710.1 (H.sapiens)  tweety homolog 1
1395198_at	BE099956	2.679	Similar to zinc-finger protein ZFP313 (LOC362277), mRNA
1389754_at	AI555295	2.678	Transcribed sequence with weak  similarity to protein ref:NP_005798.1 (H.sapiens)  proteoglycan 4; megakaryocyte stimulating factor; proteoglycan 4,
1369904_at	NM_012956	2.676	gamma-aminobutyric acid receptor, subunit beta 1
1386860_at	NM_012811	2.676	milk fat globule-EGF factor 8 protein
1384056_at	BF410980	2.674	fibroblast growth factor receptor 3
1373510_at	BF281373	2.657	vesicle-associated membrane protein 1
1369371_a_at	Y10369	2.654	gamma-aminobutyric acid (GABA) B receptor, 1
1388038_at	AB038388	2.653	attractin
1388924_at	AA818262	2.653	Transcribed sequence with strong similarity to protein ref:NP_065606.1 (M.musculus)  fibrinogen/angiopoietin-related protein; major histocompatibility complex region NG27 [Mus musculus]
1383546_at	BE097393	2.651	UI-R-BO1-apq-h-12-0-UI.s1 UI-R-BO1 Rattus norvegicus cDNA clone UI-R-BO1-apq-h-12-0-UI 3', mRNA sequence.
1371018_at	BF411765	2.65	cadherin EGF LAG seven-pass G-type receptor 2
1374591_at	AI409042	2.65	Similar to protein tyrosine phosphatase, receptor type, D isoform 3 precursor; protein tyrosine phosphatase, receptor type, delta polypeptide; protein tyrosine phosphatase delta (LOC313278), mRNA
1395249_at	BF400750	2.644	LOC362256 (LOC362256), mRNA
1372012_at	BF417479	2.642	Similar to 24-dehydrocholesterol reductase (LOC298298), mRNA
1367978_at	NM_031007	2.641	adenylyl cyclase 2
1381207_at	BE120425	2.641	Transcribed sequences
1374432_at	BE118251	2.636	activated leukocyte cell adhesion molecule
1378471_at	BE111819	2.635	Similar to hypothetical protein FLJ10770 (LOC362551), mRNA
1389959_at	BF413628	2.634	Transcribed sequences
1368772_at	NM_017049	2.632	solute carrier family 4, member 3
1390616_at	BI296731	2.632	Transcribed sequences
1370605_s_at	U53144	2.628	leptin receptor
1377218_at	BF414000	2.628	UI-R-BJ2-bol-c-06-0-UI.s1 UI-R-BJ2 Rattus norvegicus cDNA clone UI-R-BJ2-bol-c-06-0-UI 3', mRNA sequence.
1390483_at	BF555120	2.627	Similar to chromosome 14 open reading frame 69 (LOC314441), mRNA
1385164_at	BE108640	2.625	UI-R-CA0-axg-f-10-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-axg-f-10-0-UI 3', mRNA sequence.
1395598_at	BF408769	2.625	LOC362059 (LOC362059), mRNA
1382825_at	AI060128	2.619	Transcribed sequence with weak  similarity to protein ref:NP_033014.1 (M.musculus)  putative neuronal cell adhesion molecule [Mus musculus]
1395359_at	BF559566	2.619	Transcribed sequences
1372929_at	AI010839	2.618	potassium large conductance calcium-activated channel, subfamily M, alpha member 1
1381175_at	BE114469	2.618	Similar to modulator of estrogen induced transcription (LOC315792), mRNA
1389221_at	BI296275	2.618	Similar to monocyte-to-macrophage differentiation factor 2 (LOC304301), mRNA
1396581_at	BE103137	2.616	UI-R-BT1-aqx-a-04-0-UI.s1 UI-R-BT1 Rattus norvegicus cDNA clone UI-R-BT1-aqx-a-04-0-UI 3', mRNA sequence.
1387286_at	NM_017011	2.614	glutamate receptor, metabotropic 1
1368692_a_at	AW140851	2.611	choline kinase
1387013_at	NM_020976	2.606	kidney-specific membrane protein
1392650_at	AI059349	2.603	casein kinase II, alpha 1 polypeptide
1393933_at	AW144823	2.601	Similar to gp250 precursor (LOC300652), mRNA
1391964_at	BI300993	2.599	Similar to helicase-like protein NHL isoform 2 (LOC296475), mRNA
1370259_a_at	BE101119	2.595	parathyroid hormone receptor 1
1375531_at	BI300956	2.594	Similar to hypothetical protein FLJ90440 (LOC299830), mRNA
1389403_at	AI013715	2.594	bone morphogenetic protein 7
1395351_at	BF543381	2.592	Transcribed sequences
1379575_at	BF412271	2.591	Transcribed sequences
1390358_at	BF405996	2.588	calcium channel, voltage dependent, alpha2/delta subunit 3
1367673_at	NM_080892	2.578	selenium binding protein 2
1397398_at	BG376725	2.578	Transcribed sequences
1369693_a_at	AY069978	2.577	solute carrier family 1, member 2
1392055_at	BF397988	2.577	Transcribed sequences
1378614_at	BI274329	2.574	Transcribed sequences
1387942_at	AF182714	2.573	putative phosphate-phosphoenolpyruvate translocator
1396896_at	AW524895	2.571	Similar to KIAA1061 protein (LOC303130), mRNA
1398862_at	J04024	2.57	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2
1381590_at	BI295719	2.567	Transcribed sequences
1375577_at	BF400031	2.566	Transcribed sequences
1372695_at	AI172165	2.558	peroxisomal protein
1383794_at	AI575277	2.558	Similar to RIKEN cDNA A930038C07 (LOC312401), mRNA
1390404_at	BF556962	2.558	Similar to laminin-2 alpha2 chain precursor (LOC309368), mRNA
1397165_at	BF547582	2.558	Similar to SWI/SNF-related matrix-associated actin-dependent regulator of chromatin a2 isoform a; SNF2-like 2; SNF2-alpha; SNF2/SWI2-like protein 2; sucrose nonfermenting 2-like protein 2; global transcription activator homologous s ...
1376405_at	BF404837	2.556	Transcribed sequences
1375983_at	AI234287	2.553	Similar to 1200015L10Rik protein (LOC309410), mRNA
1378745_at	BG374483	2.553	period homolog 3 (Drosophila)
1368302_at	NM_031059	2.552	homeo box, msh-like 1
1368353_at	NM_017009	2.552	glial fibrillary acidic protein
1372760_at	AI176579	2.55	EST220167 Normalized rat ovary, Bento Soares Rattus sp. cDNA clone ROVBU12 3' end, mRNA sequence.
1374452_at	BF399743	2.55	phosphodiesterase 9A
1370043_at	NM_031753	2.549	activated leukocyte cell adhesion molecule
1370601_a_at	AF073379	2.549	glutamate receptor, ionotropic, N-methyl-D-aspartate 3A
1384806_at	AI502875	2.549	Transcribed sequences
1383164_at	AW524366	2.545	UI-R-BO0-ahj-e-02-0-UI.s1 UI-R-BO0 Rattus norvegicus cDNA clone UI-R-BO0-ahj-e-02-0-UI 3', mRNA sequence.
1385713_at	BF392577	2.545	Similar to NAKAP95 (LOC299569), mRNA
1373102_at	BI282750	2.543	Transcribed sequences
1396660_at	BE108561	2.543	Transcribed sequences
1370950_at	Y07783	2.542	ER transmembrane protein Dri 42
1389836_a_at	AI599265	2.541	Transcribed sequence with strong similarity to protein ref:NP_000353.1 (H.sapiens)  tissue inhibitor of metalloproteinase 3 precursor; Tissue inhibitor of metalloproteinase-3 [Homo sapiens]
1375008_at	BF410389	2.538	Similar to serine/threonine kinase AIE1 (LOC292554), mRNA
1368322_at	NM_012880	2.535	superoxide dismutase 3
1374496_at	BG380570	2.533	Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1392214_at	AW532375	2.533	Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1374308_at	AI575603	2.527	Transcribed sequences
1398318_at	BI274326	2.527	mucin 1
1371491_at	BM390614	2.521	Notch gene homolog 1, (Drosophila)
1378313_at	BI299600	2.52	Transcribed sequence with weak  similarity to protein sp:O08816 (R.norvegicus) WASL_RAT Neural Wiskott-Aldrich syndrome protein
1368080_at	NM_054008	2.519	Response gene to complement 32
1395467_at	AI145705	2.519	Similar to N-copine (LOC290220), mRNA
1378197_at	AW433953	2.516	KIFC2 protein
1387916_at	U39208	2.511	cytochrome P450 4F6
1375562_at	BF408460	2.51	Transcribed sequences
1367979_s_at	BG664123	2.509	cytochrome P450, subfamily 51
1393163_at	AI112184	2.505	UI-R-Y0-ml-f-07-0-UI.s1 UI-R-Y0 Rattus norvegicus cDNA clone UI-R-Y0-ml-f-07-0-UI 3', mRNA sequence.
1377793_at	BF407551	2.498	Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1380964_at	BF396607	2.497	Similar to Dystrobrevin alpha (Alpha-dystrobrevin) (LOC307548), mRNA
1372479_at	AI175666	2.496	Transcribed sequences
1391502_at	AI170453	2.496	Transcribed sequences
1385038_at	BF390009	2.495	Transcribed sequences
1371855_at	BM390254	2.494	Transcribed sequences
1382267_at	BF390450	2.493	Similar to four jointed box 1 (LOC366140), mRNA
1377321_at	BF415831	2.491	Transcribed sequences
1389048_at	BI278614	2.491	Transcribed sequence with moderate similarity to protein sp:P13497 (H.sapiens) BMP1_HUMAN Bone morphogenetic protein 1 precursor
1368035_a_at	X83505	2.488	protein tyrosine phosphatase, receptor type, F
1368472_at	NM_031320	2.486	cadherin EGF LAG seven-pass G-type receptor 3
1368620_at	NM_031792	2.486	sperm antigen 4
1371369_at	BI287851	2.486	Similar to procollagen, type VI, alpha 2 (LOC361821), mRNA
1378262_at	BG377362	2.486	Transcribed sequences
1385506_at	AW530507	2.482	Transcribed sequences
1377773_at	AW522872	2.48	Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1390505_a_at	BF419854	2.48	Transcribed sequence with weak  similarity to protein ref:NP_078785.1 (H.sapiens)  hypothetical protein MGC2656 [Homo sapiens]
1387886_at	AI011747	2.478	proline arginine-rich end leucine-rich repeat protein
1373561_at	AI012498	2.477	Similar to chondroitin polymerizing factor; chondroitin sulfate synthase 2 (LOC316533), mRNA
1392374_at	BF389797	2.474	Transcribed sequences
1374726_at	AI411941	2.473	Similar to KIAA1866 protein (LOC308099), mRNA
1398440_at	BI292166	2.473	Similar to SR rich protein (LOC297942), mRNA
1392926_at	BI281952	2.472	Similar to laminin alpha-1 chain precursor - mouse (LOC316758), mRNA
1394597_at	AI101356	2.472	Similar to RIKEN cDNA 4921528E07 (LOC305816), mRNA
1394786_at	AW526631	2.472	Transcribed sequences
1373487_at	AI030552	2.469	Transcribed sequences
1383971_at	AA818159	2.467	Transcribed sequences
1387913_at	U48220	2.466	cytochrome P450 2d18
1387926_at	AB052846	2.465	sterol-C5-desaturase (fungal ERG3, delta-5-desaturase)-like
1390659_at	BI302830	2.465	CD44 antigen
1368082_at	NM_017048	2.459	solute carrier family 4, member 2
1374417_at	BE113111	2.458	Similar to nuclear receptor binding protein; HLS7-interacting protein kinase (LOC315090), mRNA
1384183_at	AA996869	2.457	myosin VIIA and Rab interacting protein
1387099_at	NM_053838	2.457	natriuretic peptide receptor 2
1370068_at	NM_017174	2.456	phospholipase A2, group 5
1381262_at	BG374101	2.452	Transcribed sequences
1398197_at	BF390021	2.451	Transcribed sequences
1368189_at	NM_022389	2.45	7-dehydrocholesterol reductase
1397449_at	AI059353	2.447	UI-R-C1-ld-a-07-0-UI.s1 UI-R-C1 Rattus norvegicus cDNA clone UI-R-C1-ld-a-07-0-UI 3', mRNA sequence.
1372335_at	BE114641	2.442	UI-R-BJ1-awn-e-06-0-UI.s1 UI-R-BJ1 Rattus norvegicus cDNA clone UI-R-BJ1-awn-e-06-0-UI 3', mRNA sequence.
1368381_at	NM_134401	2.441	W307 protein
1374098_at	AW530272	2.44	Transcribed sequence with moderate similarity to protein ref:NP_085155.1 (H.sapiens)  NG3 protein [Homo sapiens]
1381491_at	BE097634	2.44	Transcribed sequences
1373750_at	BF406832	2.435	Similar to leprecan-like protein 2 (LOC297595), mRNA
1368120_at	NM_031069	2.434	protein kinase C-binding protein NELL1
1374546_at	AW918040	2.434	Transcribed sequences
1391534_at	BG666735	2.431	Similar to SSC2 (LOC361231), mRNA
1375944_at	AA849497	2.428	Similar to Acetyl-coenzyme A synthetase, cytoplasmic (Acetate--CoA ligase) (Acyl-activating enzyme) (Acetyl-CoA synthetase) (ACS) (AceCS) (LOC311569), mRNA
1367789_at	NM_053580	2.426	fatty acid transport protein
1385782_at	AW524067	2.425	UI-R-BO0-ahr-b-06-0-UI.s1 UI-R-BO0 Rattus norvegicus cDNA clone UI-R-BO0-ahr-b-06-0-UI 3', mRNA sequence.
1392182_at	BG380589	2.425	UI-R-CT0-btz-b-01-0-UI.s1 UI-R-CT0 Rattus norvegicus cDNA clone UI-R-CT0-btz-b-01-0-UI 3', mRNA sequence.
1397443_at	BF398770	2.423	Transcribed sequences
1379035_at	BF413511	2.422	UI-R-CA0-bof-b-02-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-bof-b-02-0-UI 3', mRNA sequence.
1377807_a_at	BF389856	2.421	Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1390735_at	BG375163	2.419	UI-R-CV1-bsx-h-03-0-UI.s1 UI-R-CV1 Rattus norvegicus cDNA clone UI-R-CV1-bsx-h-03-0-UI 3', mRNA sequence.
1397854_at	BI275309	2.415	Transcribed sequences
1368577_at	NM_053388	2.414	gap junction protein, beta 6 (connexin 30)
1369425_at	NM_138889	2.414	cadherin 13
1368582_at	NM_017217	2.413	solute carrier family 7, member 3
1380958_at	BG671935	2.413	Transcribed sequence with strong similarity to protein sp:O00755 (H.sapiens) WN7A_HUMAN WNT-7A protein precursor
1368698_at	NM_012508	2.41	ATPase, Ca++ transporting, plasma membrane 2
1385876_at	AA817826	2.41	Similar to Gpc6 protein (LOC306163), mRNA
1377631_at	BM389001	2.408	Similar to alpha-3 type IX collagen (LOC362285), mRNA
1377084_at	BE106598	2.406	Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1381097_at	AI030890	2.405	UI-R-C0-jf-a-09-0-UI.s1 UI-R-C0 Rattus norvegicus cDNA clone UI-R-C0-jf-a-09-0-UI 3', mRNA sequence.
1391039_at	BE115243	2.405	UI-R-CA0-axr-a-04-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-axr-a-04-0-UI 3', mRNA sequence.
1393469_at	BE102340	2.405	UI-R-BT1-aql-d-09-0-UI.s1 UI-R-BT1 Rattus norvegicus cDNA clone UI-R-BT1-aql-d-09-0-UI 3', mRNA sequence.
1375404_at	BF415963	2.403	Transcribed sequences
1392049_at	BF411767	2.398	Transcribed sequences
1395047_at	BF397243	2.396	Similar to tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2; tankyrase 2 (LOC309512), mRNA
1380693_at	BF415976	2.395	UI-R-CA0-bkp-e-10-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-bkp-e-10-0-UI 3', mRNA sequence.
1381821_at	AI454542	2.395	MAM domain containing glycosylphosphatidylinositol anchor 2
1393743_at	AI453930	2.392	Transcribed sequences
1394585_at	BE116089	2.392	Transcribed sequence with weak  similarity to protein sp:P04280 (H.sapiens) PRP1_HUMAN Salivary proline-rich protein precursor
1376322_at	BF405165	2.389	Transcribed sequences
1377778_at	BE107282	2.389	ischemia related factor vof-16
1393406_at	AI576602	2.389	Transcribed sequences
1394645_at	BF287691	2.388	Transcribed sequences
1377418_at	AI411724	2.387	Transcribed sequences
1390375_at	BF414692	2.387	Similar to NAKAP95 (LOC299569), mRNA
1384444_at	BF415780	2.386	Similar to RIKEN cDNA A830041P22 gene (LOC361521), mRNA
1373699_at	BM391164	2.384	Similar to RIKEN cDNA 1810059A23 (LOC363289), mRNA
1376434_at	AI101016	2.384	Transcribed sequences
1389543_at	BE111083	2.383	mannose-binding protein associated serine protease-1
1395922_at	BF412539	2.383	Transcribed sequences
1376601_at	BF397526	2.381	Similar to semaphorin 6A1; semaphorin 6A-1 (LOC361324), mRNA
1390544_at	BF388507	2.381	Similar to E2a-Pbx1-associated protein; putative 47 kDa protein (LOC362869), mRNA
1374543_at	AA858791	2.378	Transcribed sequences
1380202_at	AI070003	2.378	Transcribed sequences
1376265_at	AI411542	2.377	Similar to six transmembrane epithelial antigen of prostate 2; six transmembrane prostate protein; prostate cancer associated gene 1; prostate cancer associated protein 1 (LOC312052), mRNA
1378871_at	AA924656	2.377	Similar to brain-specific angiogenesis inhibitor 2 (LOC313058), mRNA
1374610_at	AI599365	2.376	Transcribed sequences
1383214_at	AI555989	2.376	Transcribed sequences
1377138_at	AI709547	2.369	Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1370099_at	NM_022272	2.368	F-box protein FBL2
1374013_at	BI278078	2.367	Similar to complement-c1q tumor necrosis factor-related protein (LOC315598), mRNA
1377029_at	AI235414	2.364	Transcribed sequences
1393608_at	AW522185	2.361	Transcribed sequences
1389079_at	AI639268	2.359	Similar to DKFZP566O084 protein (LOC287411), mRNA
1373829_at	AI412658	2.353	fibroblast growth factor receptor 2
1390393_at	BF388422	2.352	Transcribed sequences
1380464_at	AI145031	2.351	Similar to DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26; RNA helicase HDB; deleted in cancer 1; RNA helicase HDB/DICE1; DEAD box protein (LOC361057), mRNA
1377792_at	AW524891	2.345	Transcribed sequences
1383775_at	BF386414	2.345	Transcribed sequences
1392317_at	BI288026	2.345	Transcribed sequences
1393325_at	BG378917	2.344	Similar to Pseudoautosomal GTP-binding protein-like protein (LOC363931), mRNA
1386102_at	AA851046	2.341	Transcribed sequences
1378434_at	BF400808	2.34	Transcribed sequences
1390530_at	AI169239	2.34	Transcribed sequences
1374908_at	BE113272	2.338	Transcribed sequence with weak  similarity to protein ref:NP_079268.1 (H.sapiens)  hypothetical protein FLJ12547 [Homo sapiens]
1375729_at	BF411904	2.337	Transcribed sequence with weak  similarity to protein pir:RGECDW (E. coli) RGECDW transcription activator of D-serine dehydratase - Escherichia coli
1385229_at	AW524146	2.337	UI-R-BO0-aii-a-07-0-UI.s1 UI-R-BO0 Rattus norvegicus cDNA clone UI-R-BO0-aii-a-07-0-UI 3', mRNA sequence.
1371775_at	AI172057	2.336	Transcribed sequences
1377458_at	AA850618	2.336	Similar to gp250 precursor (LOC300652), mRNA
1378621_at	BE121126	2.333	Transcribed sequences
1378806_at	BF392451	2.333	Transcribed sequences
1391346_at	BG373537	2.332	Similar to FKSG26 protein (LOC292082), mRNA
1394807_at	AW522357	2.324	UI-R-BO0-ahw-b-05-0-UI.s1 UI-R-BO0 Rattus norvegicus cDNA clone UI-R-BO0-ahw-b-05-0-UI 3', mRNA sequence.
1375621_at	AI575254	2.323	sideroflexin 5
1387384_at	NM_033299	2.321	phospholipase D2
1370053_at	NM_022946	2.319	guanylate kinase associated protein
1370329_at	U48220	2.319	cytochrome P450 2d18
1384897_at	AA858696	2.318	Transcribed sequences
1389447_at	AA955470	2.317	Similar to prolyl-4-hydroxylase-alpha NE2 CG9720-PA (LOC301008), mRNA
1371232_a_at	AF084544	2.316	chondroitin sulfate proteoglycan 2 (versican)
1372895_at	AI169367	2.316	Similar to RIKEN cDNA 5730469M10 (LOC361118), mRNA
1395101_at	BF396757	2.316	Transcribed sequences
1389681_at	BI296388	2.315	Similar to poliovirus receptor homolog (LOC308417), mRNA
1375138_at	AA893169	2.314	Transcribed sequence with strong similarity to protein ref:NP_000353.1 (H.sapiens)  tissue inhibitor of metalloproteinase 3 precursor; Tissue inhibitor of metalloproteinase-3 [Homo sapiens]
1369633_at	AF189724	2.313	chemokine (C-X-C motif) ligand 12
1372823_at	BE117126	2.313	Similar to RIKEN cDNA 2310005N03 (LOC289278), mRNA
1378065_at	BI274450	2.312	Transcribed sequence with weak  similarity to protein ref:NP_509066.1 (C.elegans)  C03B1.10.p [Caenorhabditis elegans]
1393075_at	BF386199	2.312	UI-R-CA1-bbb-g-03-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bbb-g-03-0-UI 3', mRNA sequence.
1377232_at	BF406608	2.308	Similar to hypothetical protein (LOC305332), mRNA
1381668_at	AW528482	2.307	Transcribed sequences
1382375_at	AI639128	2.306	Transcribed sequence with moderate similarity to protein pir:RGECDW (E. coli) RGECDW transcription activator of D-serine dehydratase - Escherichia coli
1387233_at	NM_017235	2.306	hydroxysteroid dehydrogenase 17 beta, type 7
1391601_at	AA964579	2.305	Similar to Glioma amplified on chromosome 1 protein precursor (LOC289020), mRNA
1372518_at	AI176918	2.299	Similar to Fbln1 protein (LOC315191), mRNA
1373469_at	BF408841	2.297	Transcribed sequences
1375849_at	BE110095	2.297	Transcribed sequences
1379092_at	AI712997	2.295	Transcribed sequences
1369960_at	NM_031648	2.294	FXYD domain-containing ion transport regulator 1
1385082_at	BE120904	2.293	UI-R-BS1-azt-h-02-0-UI.s1 UI-R-BS1 Rattus norvegicus cDNA clone UI-R-BS1-azt-h-02-0-UI 3', mRNA sequence.
1386728_at	BF545849	2.292	Transcribed sequences
1380111_at	AI578095	2.29	Transcribed sequences
1374678_at	BE109578	2.287	Similar to Semaphorin 4B (Semaphorin C) (Sema C) (LOC293042), mRNA
1388527_at	BI283685	2.287	Transcribed sequences
1391447_at	BI299229	2.287	Transcribed sequence with moderate similarity to protein pir:I60307 (E. coli) I60307 beta-galactosidase, alpha peptide - Escherichia coli
1368001_at	NM_012905	2.286	 
1374448_at	AW523759	2.278	Similar to metastasis and invasion (LOC313488), mRNA
1382130_at	AA997710	2.277	Similar to bA99E24.1.1 (protocadherin 19 (KIAA1313) protein) (LOC317183), mRNA
1375771_at	BF399598	2.276	Similar to hypothetical protein FLJ20174 (LOC288109), mRNA
1373839_at	BG372386	2.274	Transcribed sequences
1393579_at	BF406384	2.267	UI-R-CA1-bjf-f-16-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bjf-f-16-0-UI 3', mRNA sequence.
1377018_at	BF284124	2.266	Similar to E430002G05Rik protein (LOC311252), mRNA
1368153_a_at	AJ293698	2.265	nasal embryonic LHRH factor
1375206_at	BI275257	2.265	Hypothetical LOC287466 (LOC287466), mRNA
1370438_at	AF037071	2.264	C-terminal PDZ domain ligand of neuronal nitric oxide synthase
1367996_a_at	AF111099	2.263	CL1BA protein
1369628_at	BG672437	2.26	Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1391211_at	AI144936	2.257	UI-R-BT0-pp-f-09-0-UI.s1 UI-R-BT0 Rattus norvegicus cDNA clone UI-R-BT0-pp-f-09-0-UI 3', mRNA sequence.
1368261_at	NM_053817	2.254	neurexin 3
1380250_at	AI013978	2.254	Transcribed sequences
1368325_at	NM_012842	2.253	epidermal growth factor
1369008_a_at	NM_053573	2.253	olfactomedin related ER localized protein
1374803_at	BG374219	2.253	Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1376992_a_at	AI058900	2.253	Transcribed sequence with weak  similarity to protein ref:NP_194220.1 (A.thaliana)  hypothetical protein [Arabidopsis thaliana]
1367893_a_at	NM_133414	2.251	Mid-1-related chloride channel 1
1371007_at	BF416432	2.25	eck-like sequence 1
1383783_at	AW521192	2.25	Transcribed sequences
1386913_at	NM_019358	2.25	glycoprotein 38
1387059_at	NM_019362	2.25	serine threonine kinase 39 (STE20/SPS1 homolog, yeast)
1373057_at	AI229142	2.246	ProSAPiP1 protein
1368887_at	NM_019161	2.245	cadherin 22
1375049_at	AI711132	2.245	latent transforming growth factor beta binding protein 3
1373783_at	AA943917	2.244	EST199416 Normalized rat brain, Bento Soares Rattus sp. cDNA clone RBRAR31 3' end, mRNA sequence.
1370550_at	U31554	2.241	limbic system-associated membrane protein
1372905_at	AW433888	2.24	Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1384533_at	AW527248	2.24	UI-R-BO1-ajs-b-09-0-UI.s1 UI-R-BO1 Rattus norvegicus cDNA clone UI-R-BO1-ajs-b-09-0-UI 3', mRNA sequence.
1390795_at	AI029455	2.238	tocopherol (alpha) transfer protein
1396270_at	BI290209	2.237	UI-R-DK0-cft-e-04-0-UI.s1 UI-R-DK0 Rattus norvegicus cDNA clone UI-R-DK0-cft-e-04-0-UI 3', mRNA sequence.
1378888_at	BF397954	2.236	Transcribed sequences
1370312_at	M88469	2.234	f-spondin
1373196_at	BF404514	2.234	Similar to CG4662-PB (LOC364601), mRNA
1397030_at	AI406451	2.231	Transcribed sequences
1398362_at	AI011448	2.231	notch gene homolog 2, (Drosophila)
1383409_at	BM383714	2.23	UI-R-DM1-ckb-i-05-0-UI.s1 UI-R-DM1 Rattus norvegicus cDNA clone UI-R-DM1-ckb-i-05-0-UI 3', mRNA sequence.
1370864_at	BI285575	2.226	collagen, type 1, alpha 1
1371923_at	BG380281	2.224	Similar to hypothetical protein FLJ20481 (LOC361467), mRNA
1379520_at	BE103550	2.224	Transcribed sequences
1372820_at	BE109102	2.22	Transcribed sequences
1375033_at	AI406826	2.219	Similar to carnitine palmitoyltransferase I (LOC308579), mRNA
1375392_at	BF405277	2.219	Transcribed sequences
1379719_at	AI408386	2.219	Transcribed sequences
1374849_at	BF285745	2.216	Similar to a disintegrin and metalloprotease with thrombospondin motifs-7 preproprotein (LOC315879), mRNA
1388111_at	J04035	2.214	elastin
1368704_a_at	AF292102	2.213	chondroitin sulfate proteoglycan 5
1388426_at	BF398848	2.213	sterol regulatory element binding factor 1
